score,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,time_used,year,month,day,hour,minute,second
(0.36751910795342285+0j),(0.36751910795342285+0j),(0.181+0j),0j,(0.1+0j),0j,(0.2+0j),(0.45+0j),(0.23+0j),(0.08+0j),(0.025+0j),(0.04+0j),(2.11+0j),(17.7+0j),(-3.23+0j),(8.28+0j),(2+0j),(202.1876926422119+0j),(2024+0j),(7+0j),(30+0j),(15+0j),(1+0j),(15+0j)
(0.27766447831106494+0j),(0.27766447831106494+0j),(0.1786291830037364+0j),0j,(0.09886558652364422+0j),(0.00027146209185288265+0j),(0.20097536085074438+0j),(0.44827600926687833+0j),(0.23067366037389925+0j),(0.07776961973279263+0j),(0.02424284221092746+0j),(0.037784724784663534+0j),(2.111311910734673+0j),(17.69855760465497+0j),(-3.208372804031202+0j),(8.285415455056464+0j),(1.955704664543224+0j),(196.41473126411438+0j),(2024+0j),(7+0j),(30+0j),(15+0j),(4+0j),(33+0j)
(0.28572268412802015+0j),(0.28572268412802015+0j),(0.1833708169962636+0j),(0.003736568296006318+0j),(0.1011344134763558+0j),0j,(0.19902463914925564+0j),(0.4517239907331217+0j),(0.22932633962610077+0j),(0.08223038026720737+0j),(0.025757157789072543+0j),(0.04221527521533647+0j),(2.1086880892653266+0j),(17.70144239534503+0j),(-3.251627195968798+0j),(8.274584544943535+0j),(2.044295335456776+0j),(193.52456331253052+0j),(2024+0j),(7+0j),(30+0j),(15+0j),(7+0j),(49+0j)
(0.36971866361968286+0j),(0.36971866361968286+0j),(0.176587618184204+0j),0j,(0.09929923071055394+0j),(0.005318051140477949+0j),(0.1973694520176949+0j),(0.4483309162805483+0j),(0.23011335437315025+0j),(0.08083111730978117+0j),(0.024471735283750542+0j),(0.040596050874415875+0j),(2.111214217827499+0j),(17.723672669870194+0j),(-3.23932192951831+0j),(8.285050758603074+0j),(2.0166069784372773+0j),(189.55741667747498+0j),(2024+0j),(7+0j),(30+0j),(15+0j),(11+0j),(1+0j)
