score,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,time_used,year,month,day,hour,minute,second
(0.36751910795337106+0j),(0.36751910795337106+0j),(0.181+0j),0j,(0.1+0j),0j,(0.2+0j),(0.45+0j),(0.23+0j),(0.08+0j),(0.025+0j),(0.04+0j),(2.11+0j),(17.7+0j),(-3.23+0j),(8.28+0j),(2+0j),(204.04551887512207+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(20+0j),(43+0j)
0j,0j,(0.17752658819627617+0j),(-0.00011075334166390642+0j),(0.09686678424311014+0j),(0.0008629461982126964+0j),(0.2008776882369432+0j),(0.4493921566952728+0j),(0.2293846213988093+0j),(0.0803694172122513+0j),(0.023891223633351756+0j),(0.03762378053606238+0j),(2.1101720460786546+0j),(17.696500362413335+0j),(-3.1735373657663275+0j),(8.25223494618584+0j),(1.973870295477956+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(20+0j),(46+0j)
0j,0j,(0.1844734118037238+0j),(0.00011075334166390642+0j),(0.10313321575688987+0j),(-0.0008629461982126964+0j),(0.1991223117630568+0j),(0.4506078433047272+0j),(0.23061537860119072+0j),(0.0796305827877487+0j),(0.026108776366648247+0j),(0.042376219463937624+0j),(2.109827953921345+0j),(17.703499637586663+0j),(-3.2864626342336725+0j),(8.307765053814158+0j),(2.0261297045220443+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(20+0j),(48+0j)
0j,0j,(0.18216496121036566+0j),(-0.0023250509839081125+0j),(0.0985351643609949+0j),(-0.0006775060737848584+0j),(0.19763636909873036+0j),(0.4487590926258769+0j),(0.22727377085694037+0j),(0.07906104644527251+0j),(0.024497270194709687+0j),(0.04004242291534935+0j),(2.1101464222753714+0j),(17.69212053476835+0j),(-3.2545243149627705+0j),(8.238091000425255+0j),(1.999216715664698+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(20+0j),(51+0j)
(0.3499126667369938+0j),(0.3499126667369938+0j),(0.17983503878963433+0j),(0.0023250509839081125+0j),(0.10146483563900512+0j),(0.0006775060737848584+0j),(0.20236363090126966+0j),(0.45124090737412315+0j),(0.23272622914305965+0j),(0.0809389535547275+0j),(0.025502729805290315+0j),(0.03995757708465065+0j),(2.1098535777246283+0j),(17.70787946523165+0j),(-3.2054756850372295+0j),(8.321908999574744+0j),(2.0007832843353017+0j),(190.86833953857422+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(24+0j),(5+0j)
0j,0j,(0.184547729812006+0j),(0.0012099926618172419+0j),(0.0984304823236493+0j),(-0.0018092719821952133+0j),(0.197682371311357+0j),(0.4484342244858492+0j),(0.23088190720693558+0j),(0.07789166221228325+0j),(0.024735989675015942+0j),(0.0396072920201365+0j),(2.108683551726869+0j),(17.70731585679106+0j),(-3.2154324345877163+0j),(8.27920493231087+0j),(2.0039900002551168+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(24+0j),(7+0j)
0j,0j,(0.17745227018799398+0j),(-0.0012099926618172419+0j),(0.10156951767635071+0j),(0.0018092719821952133+0j),(0.20231762868864303+0j),(0.45156577551415084+0j),(0.22911809279306444+0j),(0.08210833778771676+0j),(0.02526401032498406+0j),(0.0403927079798635+0j),(2.1113164482731306+0j),(17.69268414320894+0j),(-3.2445675654122836+0j),(8.280795067689128+0j),(1.9960099997448835+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(24+0j),(10+0j)
0j,0j,(0.17996929030890188+0j),(-7.394110382701069e-06+0j),(0.10110907292175537+0j),(5.77587955951024e-05+0j),(0.19686535757560744+0j),(0.4511378094289745+0j),(0.2305289955579905+0j),(0.08016342277161108+0j),(0.025059215261652418+0j),(0.03922550656919115+0j),(2.109221489462174+0j),(17.73526579503967+0j),(-3.243011741910639+0j),(8.277445959896788+0j),(1.9582252001420468+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(24+0j),(12+0j)
0j,0j,(0.1820307096910981+0j),(7.394110382701069e-06+0j),(0.09889092707824464+0j),(-5.77587955951024e-05+0j),(0.20313464242439258+0j),(0.4488621905710255+0j),(0.22947100444200952+0j),(0.07983657722838892+0j),(0.024940784738347585+0j),(0.04077449343080885+0j),(2.1107785105378256+0j),(17.66473420496033+0j),(-3.216988258089361+0j),(8.28255404010321+0j),(2.041774799857953+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(24+0j),(15+0j)
0j,0j,(0.1797851881568248+0j),(0.001573116060101129+0j),(0.09959343237015487+0j),(-0.0041231610932728245+0j),(0.2003121191543258+0j),(0.44955849603477765+0j),(0.23013722874965095+0j),(0.08012373050973108+0j),(0.02573663748384284+0j),(0.03985074510870965+0j),(2.110591630599488+0j),(17.733186376789472+0j),(-3.231015403174283+0j),(8.264141115426241+0j),(2.023685186832436+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(24+0j),(17+0j)
