score,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,time_used,year,month,day,hour,minute,second
0j,0j,(0.1822148118431752+0j),(-0.001573116060101129+0j),(0.10040656762984514+0j),(0.0041231610932728245+0j),(0.1996878808456742+0j),(0.45044150396522237+0j),(0.22986277125034907+0j),(0.07987626949026892+0j),(0.024263362516157162+0j),(0.04014925489129035+0j),(2.1094083694005117+0j),(17.666813623210526+0j),(-3.228984596825717+0j),(8.295858884573757+0j),(1.9763148131675639+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(24+0j),(20+0j)
0j,0j,(0.18017892151133758+0j),(-0.0024978837586616598+0j),(0.09880241353760355+0j),(-0.0006025329603004928+0j),(0.1997074394762642+0j),(0.4479123703334691+0j),(0.22947683110787417+0j),(0.07942046554357418+0j),(0.026619168997988395+0j),(0.039959003953959356+0j),(2.109927785064975+0j),(17.70542332630087+0j),(-3.227582736478792+0j),(8.303285662607152+0j),(1.9952557118215635+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(24+0j),(22+0j)
(0.00234541959756317+0j),(0.00234541959756317+0j),(0.1818210784886624+0j),(0.0024978837586616598+0j),(0.10119758646239646+0j),(0.0006025329603004928+0j),(0.2002925605237358+0j),(0.45208762966653093+0j),(0.23052316889212585+0j),(0.08057953445642582+0j),(0.023380831002011607+0j),(0.040040996046040646+0j),(2.1100722149350246+0j),(17.694576673699128+0j),(-3.232417263521208+0j),(8.256714337392847+0j),(2.0047442881784368+0j),(194.50881123542786+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(27+0j),(39+0j)
0j,0j,(0.18051872504384633+0j),(0.001957125785798491+0j),(0.0997971922739253+0j),(-0.0002463754769073649+0j),(0.19927956380608702+0j),(0.45241154066457634+0j),(0.22975460311153356+0j),(0.0793396890128255+0j),(0.025781510565702524+0j),(0.04118088822764971+0j),(2.110484123194316+0j),(17.693651744172723+0j),(-3.2223114513060467+0j),(8.275274233706327+0j),(1.9895494902838182+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(27+0j),(42+0j)
0j,0j,(0.18148127495615365+0j),(-0.001957125785798491+0j),(0.1002028077260747+0j),(0.0002463754769073649+0j),(0.200720436193913+0j),(0.4475884593354237+0j),(0.23024539688846646+0j),(0.08066031098717451+0j),(0.02421848943429748+0j),(0.03881911177235029+0j),(2.1095158768056836+0j),(17.706348255827276+0j),(-3.2376885486939533+0j),(8.284725766293672+0j),(2.0104505097161818+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(27+0j),(44+0j)
0j,0j,(0.18131170028709856+0j),(0.00039936855922475156+0j),(0.10207326447088694+0j),(-0.0026387704269022756+0j),(0.20097095130837947+0j),(0.4497229059422877+0j),(0.2295599705211705+0j),(0.0802131458502908+0j),(0.02510434522169759+0j),(0.03979340186230903+0j),(2.1088593467504784+0j),(17.693457751622866+0j),(-3.226959550749178+0j),(8.279720630278256+0j),(1.9921150446254814+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(27+0j),(47+0j)
0j,0j,(0.18068829971290143+0j),(-0.00039936855922475156+0j),(0.09792673552911307+0j),(0.0026387704269022756+0j),(0.19902904869162055+0j),(0.4502770940577123+0j),(0.23044002947882952+0j),(0.07978685414970921+0j),(0.024895654778302412+0j),(0.04020659813769097+0j),(2.1111406532495214+0j),(17.706542248377133+0j),(-3.233040449250822+0j),(8.280279369721743+0j),(2.007884955374519+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(27+0j),(50+0j)
0j,0j,(0.18064527303178554+0j),(-0.00018619876449094797+0j),(0.10148120585695539+0j),(0.0008922769904101568+0j),(0.19862715116148835+0j),(0.44955494178701166+0j),(0.22966397329585062+0j),(0.08004716042608931+0j),(0.02481992547441765+0j),(0.040266643052221614+0j),(2.1096467250134228+0j),(17.706868646839695+0j),(-3.2202191539727796+0j),(8.279898801377733+0j),(2.009747884126574+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(27+0j),(52+0j)
0j,0j,(0.18135472696821445+0j),(0.00018619876449094797+0j),(0.09851879414304462+0j),(-0.0008922769904101568+0j),(0.20137284883851167+0j),(0.45044505821298836+0j),(0.2303360267041494+0j),(0.0799528395739107+0j),(0.025180074525582352+0j),(0.03973335694777839+0j),(2.110353274986577+0j),(17.693131353160304+0j),(-3.2397808460272204+0j),(8.280101198622265+0j),(1.9902521158734257+0j),(0.0010006427764892578+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(27+0j),(55+0j)
0j,0j,(0.18079404520729053+0j),(0.0009820780436252138+0j),(0.09925452720761534+0j),(-0.00034824980602094944+0j),(0.19928757288612026+0j),(0.4484116143209609+0j),(0.2300539956728282+0j),(0.08094140094176863+0j),(0.02484197891407716+0j),(0.040630589430793514+0j),(2.10966420761975+0j),(17.69461788369098+0j),(-3.230189354232697+0j),(8.281111667417955+0j),(1.998183500857816+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(27+0j),(58+0j)
0j,0j,(0.18120595479270946+0j),(-0.0009820780436252138+0j),(0.10074547279238467+0j),(0.00034824980602094944+0j),(0.20071242711387977+0j),(0.45158838567903914+0j),(0.22994600432717183+0j),(0.07905859905823137+0j),(0.025158021085922844+0j),(0.03936941056920649+0j),(2.11033579238025+0j),(17.705382116309018+0j),(-3.229810645767303+0j),(8.278888332582044+0j),(2.001816499142184+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(28+0j),0j
(0.2965310580464302+0j),(0.2965310580464302+0j),(0.18124694872557995+0j),(0.0015485416991995258+0j),(0.10028507375004965+0j),(9.602048281112184e-05+0j),(0.2000015186299039+0j),(0.44911411333888873+0j),(0.22974241339718454+0j),(0.07983242063186273+0j),(0.024597976324365098+0j),(0.039835216808723095+0j),(2.110857623011308+0j),(17.704668919793992+0j),(-3.231488712936386+0j),(8.287968772162417+0j),(1.996354008565503+0j),(186.07507276535034+0j),(2024+0j),(7+0j),(30+0j),(14+0j),(31+0j),(9+0j)
0j,0j,(0.18075305127442004+0j),(-0.0015485416991995258+0j),(0.09971492624995036+0j),(-9.602048281112184e-05+0j),(0.19999848137009613+0j),(0.4508858866611113+0j),(0.23025758660281548+0j),(0.08016757936813727+0j),(0.025402023675634905+0j),(0.04016478319127691+0j),(2.1091423769886917+0j),(17.695331080206007+0j),(-3.228511287063614+0j),(8.272031227837582+0j),(2.003645991434497+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(31+0j),(12+0j)
0j,0j,(0.18081170033277053+0j),(-0.0002128324385490123+0j),(0.09964483113615563+0j),(-0.0007759601132155406+0j),(0.1998683992918408+0j),(0.4510261509749737+0j),(0.22983262261769752+0j),(0.07998086701886008+0j),(0.02421836448064273+0j),(0.040145610771549316+0j),(2.1099042663813865+0j),(17.70339837053128+0j),(-3.229785587859667+0j),(8.288812546052839+0j),(2.001379631830623+0j),0j,(2024+0j),(7+0j),(30+0j),(14+0j),(31+0j),(14+0j)
