% Model,cwt_solver_20240922.mph
% Version,COMSOL 6.1.0.252
% Date,"Oct 14 2024, 09:19"
% Dimension,2
% Nodes,441
% Expressions,4
% Description,", , , "
% Length unit,m
% X,Y,Rx (1) @ lambda=6,Sx (1) @ lambda=6,Ry (1) @ lambda=6,Sy (1) @ lambda=6
-649.9891519165274,584.9902367248745,0,0.06044979226567444-0.02710338872238683i,0.04295821704714702-0.008266136330304978i,-0.017491537234950442+0.018837035462678106i
-584.9902367248746,584.9902367248745,0.004678263080093281+0.06051756224020567i,0.054448271110535136-0.08778281015904568i,0.054448272419682225-0.08778281254564378i,0.004678265349107393+0.060517556835506275i
-649.9891519165274,649.9891519165274,0,0.02579692887139328+0.011029740847192156i,0.025796928345673313+0.011029740632147636i,0
-584.9902367248746,649.9891519165274,-0.01749154010779199+0.018837040077199572i,0.04295822045866593-0.008266140683434214i,0.060449796119998477-0.02710339655380253i,0
-519.9913215332227,-649.9891519165274,-0.03461517252624505+0.03718848395097833i,0.05912647789062528-0.027264913452760497i,0,-0.09374143948588239+0.0644531233100471i
-519.9913215332228,-584.9902367248746,0.009102472970210433+0.11961945199912108i,0.047371115050522584-0.14626363759216934i,-0.026593136474477357-0.10078248113992007i,-0.06486179119971358+0.16510054793029422i
-454.99240634157,-649.9891519165274,-0.0510100403606696+0.05458118470849364i,0.0739646244845939-0.045481021237659916i,0,-0.12497478038022944+0.10006240724908014i
-454.99240634157013,-584.9902367248746,0.013029755193653562+0.17592183020706936i,0.03952215760497464-0.2011831403917254i,-0.04764381294162999-0.13873333355793643i,-0.07413625772198788+0.2383715984610108i
-389.9934911499173,-649.9891519165274,-0.06633150574609417+0.07056620594267499i,0.08716664892378267-0.062449481502624866i,0,-0.15349800253059614+0.13301556855188879i
-389.9934911499174,-584.9902367248746,0.01623320174762219+0.22810707281892872i,0.031217979865774972-0.2512652779491601i,-0.06724174906894363-0.17352577790395918i,-0.08222655477649232+0.3058464391175537i
-324.99457595826453,-649.9891519165274,-0.08025558670186274+0.08473038253184498i,0.09846076319110457-0.07773926580726793i,0,-0.17871648551285313+0.16246986649187373i
-324.9945759582646,-584.9902367248746,0.0185146008061981+0.27495179007885634i,0.0227716683476287-0.2953486291262496i,-0.08484446990306614-0.20438543901159087i,-0.0891016065368581+0.365914874078882i
-259.9956607666117,-649.9891519165274,-0.09248800631370314+0.09670673859808404i,0.10761746496394749-0.09096283084288131i,0,-0.20010536515833854+0.18766955428348864i
-259.9956607666119,-584.9902367248746,0.019708447970947715+0.3153572703639818i,0.014487908644422148-0.33241391710701906i,-0.09996213037444658-0.23062665408511782i,-0.09474163596183602+0.4171443487857329i
-194.99674557495896,-649.9891519165274,-0.10276827100077038+0.1061839623450122i,0.11445163976294902-0.10178695842077372i,0,-0.2172200491106148+0.20797114238101297i
-194.99674557495908,-584.9902367248746,0.019691629286099924+0.3483733053068018i,0.006648779252228398-0.36160671334581995i,-0.11217764088748883-0.2516663194476278i,-0.09913487698061585+0.4583135443339893i
-129.99783038330622,-649.9891519165274,-0.11087680804026123+0.11291418793164161i,0.11882823251643312-0.10994002008115719i,0,-0.22970496138305718+0.22285424949147187i
-129.99783038330634,-584.9902367248746,0.018385703196163422+0.37322163479103715i,-4.908754846080776E-4-0.3822573230763495i,-0.12115183018931064-0.2670373672097704i,-0.10227530907678181+0.4884413764857915i
-64.9989151916534,-649.9891519165274,-0.1166380159137124+0.11671960582322666i,0.12066294947000916-0.1152196162149943i,0,-0.23730110277792754+0.23193944387587692i
-64.99891519165351,-584.9902367248746,0.015763248856807355+0.38931308870830794i,-0.006714599876544963-0.39389568578061396i,-0.12663790124104707-0.2763985820961043i,-0.10416014710901156+0.506810012228719i
-6.821210263296962E-13,-649.9891519165274,-0.11992539685962354+0.1174967428204311i,0.1199253968596265-0.11749674282043093i,0,-0.23985072331095558+0.23499354512921355i
-7.958078640513122E-13,-584.9902367248746,0.0118473812986222+0.39626217923995244i,-0.0118473812986222-0.3962621792399552i,-0.1284832181228409-0.27954223384919075i,-0.10478851765668137+0.5129819006195249i
64.99891519165215,-649.9891519165274,-0.12066294947000937+0.11521961621499813i,0.11663801591371122-0.11671960582322578i,0,-0.2373011027779271+0.23193944387588278i
64.99891519165203,-584.9902367248746,0.006714599876544186+0.39389568578061285i,-0.015763248856809714-0.38931308870831116i,-0.12663790124104835-0.27639858209610274i,-0.10416014710901328+0.5068100122287204i
129.99783038330497,-649.9891519165274,-0.11882823251643172+0.10994002008115925i,0.11087680804026148-0.11291418793164457i,0,-0.22970496138305513+0.2228542494914756i
129.99783038330486,-584.9902367248746,4.908754846085495E-4+0.38225732307634896i,-0.018385703196162964-0.3732216347910414i,-0.12115183018930879-0.2670373672097725i,-0.10227530907677984+0.48844137648579367i
194.99674557495786,-649.9891519165274,-0.11445163976294785+0.10178695842077677i,0.10276827100076996-0.10618396234501629i,0,-0.2172200491106113+0.20797114238102227i
194.99674557495777,-584.9902367248746,-0.0066487792522249844+0.361606713345819i,-0.01969162928609977-0.3483733053068063i,-0.11217764088749019-0.2516663194476292i,-0.0991348769806123+0.45831354433399396i
259.9956607666107,-649.9891519165274,-0.10761746496394517+0.09096283084288365i,0.0924880063137028-0.09670673859808698i,0,-0.2001053651583364+0.1876695542834927i
259.9956607666105,-584.9902367248746,-0.01448790864441793+0.33241391710702534i,-0.01970844797094605-0.3153572703639843i,-0.09996213037444589-0.2306266540851201i,-0.09474163596183241+0.4171443487857397i
324.99457595826345,-649.9891519165274,-0.09846076319110467+0.07773926580726892i,0.08025558670186342-0.0847303825318464i,0,-0.17871648551285424+0.16246986649187212i
324.99457595826334,-584.9902367248746,-0.022771668347629573+0.2953486291262536i,-0.018514600806194714-0.27495179007886367i,-0.08484446990306102-0.20438543901159364i,-0.08910160653685754+0.3659148740788877i
389.9934911499163,-649.9891519165274,-0.08716664892378082+0.062449481502625956i,0.06633150574609355-0.0705662059426769i,0,-0.15349800253059429+0.13301556855189592i
389.99349114991617,-584.9902367248746,-0.03121797986577396+0.2512652779491642i,-0.01623320174762234-0.22810707281893006i,-0.06724174906894449-0.17352577790395932i,-0.08222655477649163+0.3058464391175594i
454.9924063415691,-649.9891519165274,-0.07396462448459443+0.045481021237661005i,0.05101004036067014-0.05458118470849476i,0,-0.12497478038022963+0.10006240724908114i
454.992406341569,-584.9902367248746,-0.039522157604974364+0.20118314039172935i,-0.013029755193651557-0.17592183020707183i,-0.047643812941628706-0.13873333355793716i,-0.07413625772198892+0.2383715984610158i
519.991321533222,-649.9891519165274,-0.05912647789062468+0.027264913452761753i,0.03461517252624494-0.037188483950978686i,0,-0.09374143948588398+0.0644531233100502i
519.9913215332219,-584.9902367248746,-0.04737111505052169+0.14626363759217179i,-0.009102472970210898-0.11961945199912243i,-0.026593136474478203-0.10078248113992115i,-0.06486179119971425+0.16510054793029866i
584.9902367248746,-649.9891519165274,-0.04295822045866632+0.008266140683434621i,0.017491540107793153-0.0188370400772012i,0,-0.060449796120000315+0.027103396553805233i
584.9902367248746,-584.9902367248745,-0.054448271110536656+0.08778281015904846i,-0.004678263080091713-0.06051756224020878i,-0.004678265349105256-0.060517556835507136i,-0.05444827241968413+0.08778281254564912i
-519.9913215332227,-519.9913215332222,0.052320949678565945+0.19925182145054976i,0.03484430748083199-0.2617014408300997i,-0.05232095291614882-0.19925180947377372i,-0.03484431122030489+0.2617014434811971i
-519.9913215332227,-454.9924063415692,0.0938358878006999+0.2743085617732953i,0.022114708854019366-0.3708851286683674i,-0.07634450589343919-0.29314560867489536i,-0.0046233339218123+0.352048001719781i
-454.9924063415702,-519.991321533222,0.07634450116909083+0.29314562617599i,0.004623332373438593-0.35204800548207704i,-0.09383588980854839-0.27430854868624954i,-0.022114717356211566+0.370885136942978i
-519.9913215332227,-389.99349114991634,0.13248792087156788+0.34311954942893785i,0.009741188829911901-0.47127131319431737i,-0.09787399773427295-0.3803081780535674i,0.02487272290173073+0.4340826470438279i
-454.9924063415701,-454.9924063415691,0.1371671754458606+0.40363624406937976i,-0.029551994563373207-0.49459948658976044i,-0.13716717834655437-0.4036362249799719i,0.0295519879991038+0.49459948754932087i
-389.9934911499174,-519.9913215332222,0.0978739916776398+0.3803082005372169i,-0.024872722344734616-0.43408265702828996i,-0.13248792170571766-0.34311953542629303i,-0.009741201770648883+0.4712713267717681i
-519.9913215332227,-324.9945759582635,0.16720511034192617+0.4041529090113144i,-0.0017470167353368093-0.5605216169487175i,-0.11619629131465509-0.45873427729072275i,0.052755837955855284+0.5059401345861275i
-454.9924063415702,-389.9934911499164,0.1937991764605483+0.5049342515581792i,-0.06186018167344964-0.6255587096760987i,-0.17630888390283858-0.5237713880866309i,0.07935047948131543+0.6067216444559217i
-389.99349114991725,-454.9924063415691,0.1763088802390442+0.5237714125472602i,-0.07935048412834861-0.6067216506871288i,-0.19379917762111487-0.5049342311632085i,0.06186017041881001+0.6255587151569855i
-324.99457595826453,-519.9913215332223,0.11619628412538748+0.45873430406021554i,-0.052755835435129045-0.5059401504142224i,-0.1672051101014776-0.4041528942717016i,0.0017469998055451574+0.5605216353377674i
-519.9913215332226,-259.99566076661057,0.1970223152369474+0.45605247379605124i,-0.011867466962377837-0.6365594348412076i,-0.13069283133968923-0.5266189831012166i,0.07819693741284159+0.5659928504531531i
-454.99240634156985,-324.9945759582635,0.24466778860830948+0.594783948434516i,-0.09122970422783408-0.7419132034200262i,-0.210054477234648-0.6319726449250874i,0.12584302388883253+0.7047245223266546i
-389.99349114991725,-389.99349114991634,0.24934589847017224+0.6553019935445192i,-0.13052147840328057-0.7652425332834311i,-0.2493458998516153-0.6553019674668961i,0.13052146887559693+0.7652425307263624i
-324.9945759582645,-454.9924063415693,0.2100544729751267+0.631972673946567i,-0.12584302669332184-0.7047245353980915i,-0.24466778817609341-0.594783926992099i,0.09122968874660428+0.7419132130524075i
-259.9956607666118,-519.9913215332222,0.1306928232572391+0.5266190133250475i,-0.07819693312058737-0.5659928715712887i,-0.1970223140601979-0.456052458481059i,0.011867446605024035+0.6365594573959099i
-519.9913215332226,-194.9967455749578,0.22111537418253657+0.49766460595285916i,-0.020201719535298257-0.6976153748989782i,-0.14086184313166933-0.5823952874839318i,0.10045525649227247+0.6128845558186204i
-454.99240634156985,-259.99566076661074,0.2883587231743193+0.6711883079954294i,-0.1166921924429015-0.8409899822503608i,-0.23735126470452309-0.7257698752476923i,0.16769965534465478+0.7864084996053791i
-389.99349114991713,-324.99457595826357,0.31495394564791146+0.7719698802890366i,-0.17680434875764425-0.9060272539822778i,-0.2974631022949365-0.790806968938859i,0.1942951794404492+0.8871900372128272i
-324.9945759582644,-389.99349114991645,0.29746310082843525+0.7908069997889514i,-0.19429518725217282-0.8871900474882386i,-0.3149539449409466-0.7719698529206656i,0.17680433482177946+0.9060272548551734i
-259.9956607666117,-454.9924063415694,0.23735126004934576+0.7257699078647369i,-0.16769965643059173-0.7864085189532541i,-0.2883587213544686-0.6711882857378307i,0.11669217332252269+0.8409899955096849i
-194.99674557495896,-519.9913215332223,0.1408618344289318+0.582395320221166i,-0.1004552506640922-0.6128845815168146i,-0.22111537224092787-0.49766459020887766i,0.02020169640772232+0.6976154008402452i
-519.9913215332225,-129.99783038330506,0.238816093228008+0.5280655940044732i,-0.026408461337322914-0.7422699742896566i,-0.14633073257696863-0.6247727218471241i,0.11889380839545069+0.6455627460618587i
-454.9924063415698,-194.9967455749579,0.3236627522695824+0.7324484633228199i,-0.13741303480762684-0.9205124581156755i,-0.2573343001541395-0.8030151159427859i,0.20374150055684187+0.8499458428694681i
-389.99349114991696,-259.99566076661074,0.37130768302926564+0.8711809222728425i,-0.2167739160065971-1.0258671559951353i,-0.3366945990916489-0.9083696844432412i,0.25138698247127156+0.9886783307457433i
-324.9945759582643,-324.9945759582637,0.37598751890323856+0.9316971514165344i,-0.2560669943044312-1.049194643415384i,-0.3759875178151173-0.9316971191177023i,0.2560669819611071+1.0491946358171655i
-259.9956607666116,-389.99349114991657,0.3366945977016535+0.9083697189831953i,-0.2513869886258508-0.9886783481723913i,-0.3713076805032604-0.8711808939049605i,0.21677389826855822+1.0258671599018923i
-194.996745574959,-454.9924063415695,0.2573342953303785+0.8030151510659701i,-0.20374150009096945-0.8499458677379276i,-0.3236627493163917-0.7324484404592029i,0.1374130127414498+0.9205124743438706i
-129.9978303833063,-519.9913215332224,0.14633072355294421+0.6247727560749818i,-0.11889380130289612-0.645562775495658i,-0.2388160907202312-0.5280655779642285i,0.02640843617408628+0.7422700027300165i
-519.9913215332225,-64.9989151916521,0.24963656252214705+0.5465802370890384i,-0.030235834155100783-0.7694846729340379i,-0.14687093738734985-0.6527645536617126i,0.13300146656153056+0.6633002069062597i
-454.9924063415698,-129.99783038330506,0.349600738743439+0.777204232013534i,-0.15271500776605718-0.9786553387756296i,-0.26934873033813944-0.8619351770889334i,0.23296702031053695+0.8939244854749598i
-389.9934911499169,-194.99674557495788,0.41684532408200015+0.9507282225991337i,-0.2492045014412282-1.122030183795892i,-0.36583776396434264-1.0053097849578825i,0.3002120479629786+1.067448481340728i
-324.99457595826425,-259.9956607666108,0.4434405070392668+1.0515087029267023i,-0.30931764080075663-1.1870662800773208i,-0.42595044117977415-1.0703459148919823i,0.3268076936727395+1.1682291216042993i
-259.9956607666116,-324.99457595826374,0.42595044277473987+1.0703459509385413i,-0.3268077044225607-1.168229137108022i,-0.4434405037266658-1.0515086695143094i,0.3093176245427269+1.1870662748906582i
-194.99674557495885,-389.9934911499166,0.36583776283323255+1.0053098219682366i,-0.3002120525610033-1.0674485051273828i,-0.4168453200706068-0.9507281934915583i,0.24920448062129238+1.1220301902088452i
-129.99783038330614,-454.99240634156934,0.26934872559325324+0.8619352135379753i,-0.23296701849557724-0.8939245149411702i,-0.3496007349513346-0.7772042087324563i,0.1527149835327963+0.9786553572053458i
-64.99891519165342,-519.9913215332224,0.14687092835900967+0.652764588306836i,-0.1330014585034066-0.6633002391236404i,-0.2496365596665048-0.5465802208754826i,0.030235807747414578+0.7694847029065152i
-519.9913215332224,6.79433023827031E-13,0.2532764703031974+0.5527978510060806i,-0.03152893139655866-0.778627178780398i,-0.14240269410596026-0.6657124603298481i,0.14240269410595705+0.6657124603298517i
-454.99240634156956,-64.99891519165217,0.3654566360435481+0.8044612261411909i,-0.1620999816965476-1.014083342659229i,-0.27297252424782353-0.9011685532515311i,0.25458410928618774+0.9173760638240163i
-389.9934911499169,-129.99783038330511,0.45030311533010076+1.008844876940729i,-0.27310323660777386-1.1923266265844663i,-0.38397510580897515-1.0794116272954812i,0.339431222957467+1.1217597902916674i
-324.9945759582642,-194.99674557495808,0.4979497802370516+1.1475750790702839i,-0.3524657590782289-1.297678961947966i,-0.4633371210002814-1.1847639042713558i,0.3870784074017191+1.260490113551477i
-259.9956607666115,-259.9956607666109,0.502628666701355+1.2080926347047378i,-0.39175744284974057-1.3210076874362626i,-0.5026286625081233-1.2080925975130292i,0.3917574281248758+1.3210076737175376i
-194.99674557495874,-324.99457595826374,0.46333712324286097+1.1847639427352825i,-0.3870784165978226-1.2604901361429741i,-0.497949775108411-1.147575044839516i,0.3524657396435142+1.297678958779758i
-129.99783038330608,-389.9934911499166,0.38397510513390815+1.079411665458318i,-0.3394312261353816-1.1217598194508671i,-0.45030311021929037-1.008844847325617i,0.27310321351848466+1.1923266348677903i
-64.99891519165334,-454.99240634156956,0.2729725198422871+0.9011685897929749i,-0.2545841063529754-0.9173760968297141i,-0.36545663173606857-0.8044612026163074i,0.16209995613754208+1.014083362442929i
-7.486941567973439E-13,-519.9913215332225,0.14240268539955458+0.6657124942999239i,-0.1424026853995534-0.6657124942999242i,-0.2532764673303145-0.5527978347353502i,0.03152890457017482+0.7786272092689953i
-519.9913215332224,64.99891519165348,0.24963656252214417+0.5465802370890375i,-0.03023583415510034-0.7694846729340363i,-0.13300146656152836-0.6633002069062569i,0.14687093738734858+0.6527645536617139i
-454.9924063415696,6.352214758241803E-13,0.3707906266396123+0.8136147615182282i,-0.1652624430976898-1.0259838827575214i,-0.26802653693067646-0.9197993691837417i,0.26802653693068496+0.919799369183738i
-389.9934911499169,-64.99891519165227,0.4707560895067858+1.0442390655463232i,-0.28774064850776565-1.2351548093337836i,-0.3905043088426383-1.128970030641618i,0.3679924144498515+1.150423697004617i
-324.99457595826414,-129.99783038330514,0.5380009378229276+1.2177613237578033i,-0.3842314167027019-1.3785278441234632i,-0.48699429791804416-1.2723430652295007i,0.43523804004737+1.3239461519211004i
-259.9956607666114,-194.99674557495823,0.5645969572577149+1.3185419605830773i,-0.44434385202788196-1.4435640261361238i,-0.5471065695174817-1.3373790972411281i,0.46183421844703165+1.4247267411672166i
-194.99674557495868,-259.995660766611,0.5471065746954175+1.337379136790493i,-0.4618342316253583-1.4247267625811983i,-0.5645969509438818-1.3185419225589041i,0.4443438340741446+1.4435640139427832i
-129.997830383306,-324.99457595826374,0.4869943009585986+1.2723431046757616i,-0.43523804776511626-1.3239461805609016i,-0.5380009313503454-1.21776128896887i,0.3842313949268711+1.378527842475262i
-64.99891519165324,-389.99349114991685,0.3905043088290514+1.1289700685839632i,-0.36799241637277036-1.1504237303882539i,-0.47075608372065053-1.0442390356356197i,0.287740624029309+1.235154818772204i
-6.584900415205555E-13,-454.99240634156956,0.26802653313009045+0.9197994045690082i,-0.2680265331300904-0.9197994045690018i,-0.3707906221583957-0.8136147379130061i,0.16526241709246917+1.0259839029980087i
64.99891519165213,-519.9913215332225,0.13300145850341344+0.6633002391236348i,-0.1468709283590109-0.6527645883068353i,-0.2496365596665092-0.5465802208754762i,0.030235807747415577+0.769484702906511i
-519.9913215332224,129.99783038330628,0.2388160932279964+0.5280655940044576i,-0.02640846133731778-0.7422699742896449i,-0.11889380839544342-0.6455627460618442i,0.14633073257696694+0.6247727218471131i
-454.9924063415695,64.99891519165334,0.3654566360435461+0.8044612261411992i,-0.16209998169654968-1.0140833426592226i,-0.25458410928618413-0.9173760638240142i,0.27297252424782575+0.90116855325153i
-389.99349114991674,4.4668334337846816E-13,0.47763674337432266+1.0561253174425937i,-0.29266972652751566-1.2495402646867748i,-0.38515322242338235-1.1528327441415769i,0.38515322242337124+1.1528327441415838i
-324.99457595826397,-64.99891519165229,0.5624849690543151+1.2605064660257197i,-0.40367479675946766-1.427780903018814i,-0.4961576179730501-1.3310733281506222i,0.4700021374737719+1.3572140253121945i
-259.99566076661137,-129.99783038330523,0.6101310144431447+1.3992376739945882i,-0.4830360311686738-1.5331342070370326i,-0.57551854800332-1.4364265354213923i,0.5176484709554947+1.4959452709989671i
-194.99674557495862,-194.99674557495823,0.6148113317678291+1.459753653953084i,-0.5223289609937803-1.5564613071595839i,-0.6148113241950421-1.4597536136282254i,0.5223289445778018+1.5564612867911234i
-129.99783038330594,-259.9956607666111,0.5755185542750297+1.4364265757971695i,-0.5176484826091443-1.4959452990280815i,-0.6101310065602851-1.3992376354078184i,0.4830360108336238+1.5331341960084068i
-64.99891519165318,-324.994575958264,0.49615762196588314+1.3310733670878137i,-0.4700021438175914-1.357214058778074i,-0.5624849617563032-1.260506430913111i,0.40367477354979564+1.4277809023147847i
-4.871022224946575E-13,-389.99349114991674,0.3851532232778574+1.1528327804791962i,-0.3851532232778603-1.1528327804791971i,-0.47763673736051315-1.0561252874346538i,0.2926697015813595+1.2495402745156172i
64.99891519165215,-454.9924063415696,0.2545841063529658+0.9173760968297127i,-0.27297251984230064-0.9011685897929719i,-0.36545663173607656-0.8044612026162987i,0.16209995613754113+1.014083362442932i
129.997830383305,-519.9913215332226,0.11889380130289728+0.6455627754956513i,-0.14633072355294707-0.6247727560749851i,-0.2388160907202332-0.5280655779642197i,0.02640843617408256+0.7422700027300173i
-519.9913215332222,194.996745574959,0.2211153741825381+0.4976646059528472i,-0.020201719535298868-0.6976153748989631i,-0.10045525649227763-0.6128845558186093i,0.140861843131667+0.5823952874839172i
-454.9924063415694,129.9978303833062,0.34960073874343545+0.7772042320135252i,-0.15271500776605385-0.9786553387756038i,-0.2329670203105233-0.8939244854749433i,0.2693487303381406+0.8619351770889203i
-389.9934911499167,64.99891519165328,0.4707560895067801+1.0442390655463174i,-0.28774064850776265-1.235154809333765i,-0.3679924144498479-1.150423697004609i,0.3905043088426361+1.1289700306416142i
-324.99457595826397,3.6639014926490205E-13,0.5707219158091031+1.2748614213987464i,-0.4102202291890279-1.4443237107493836i,-0.490471063598579-1.3595925900063537i,0.4904710635985798+1.3595925900063555i
-259.99566076661125,-64.99891519165243,0.6379676388822905+1.4483838364213073i,-0.5067103285079068-1.5876968301866559i,-0.586960996774345-1.5029655387101455i,0.557716947294658+1.5331149757456828i
