FF                  ,eig_real              ,eig_imag               ,eig_real_inf          ,eig_imag_inf            ,shape
0.05                ,-0.1823083399721639   ,7.547044542462158e-05  ,-0.181388510182506    ,7.244071401646824e-19   ,CC
0.05                ,-0.15345396847340598  ,9.038743719243448e-05  ,-0.15247734478139494  ,6.007782386708044e-06   ,RIT
0.07                ,-0.19946733000325534  ,6.345515650803035e-05  ,-0.19865304286017507  ,-5.94691161896105e-19   ,CC
0.07                ,-0.15458982349817213  ,9.945319092570793e-05  ,-0.153672652693781    ,2.023710694920097e-05   ,RIT
0.09                ,-0.19832951600079782  ,6.641988986226288e-05  ,-0.197528133566939    ,-2.05909545296732e-18   ,CC
0.09                ,-0.14029012062559912  ,0.00014160389320476766 ,-0.13933144979798254  ,4.92147634539158e-05    ,RIT
0.11                ,-0.18736593359625156  ,7.892573919530339e-05  ,-0.18652463457261156  ,4.28894308425672e-19    ,CC
0.11                ,-0.11984407526465016  ,0.00022001778957213942 ,-0.1187753883318257   ,9.8049866621128e-05     ,RIT
0.13                ,-0.17215049013299774  ,9.94690709666752e-05   ,-0.17123870095677504  ,-4.151108527137178e-19  ,CC
0.13                ,-0.09879907955821281  ,0.00034403562172780706 ,-0.0975646089736806   ,0.00017216275915232323  ,RIT
0.15000000000000002 ,-0.15615665354369132  ,0.00013011368267809494 ,-0.15514574235813583  ,-7.697835424647081e-18  ,CC
0.15000000000000002 ,-0.07993183926105565  ,0.0005287319124745856  ,-0.0784739246094562   ,0.0002775525204748701   ,RIT
0.16999999999999998 ,-0.020141690137014976 ,0.0008429048147261742  ,-0.017735089491598337 ,-2.4333774590166298e-18 ,CC
0.16999999999999998 ,-0.06418664974761495  ,0.0007969255340706484  ,-0.062444665381314046 ,0.0004236518791193435   ,RIT
0.19                ,-0.1280960913126592   ,0.000227172421831339   ,-0.12682588390406632  ,0.0                     ,CC
0.19                ,-0.05159913045244905  ,0.0011850789074949058  ,-0.049509736295940514 ,0.0006288300773829917   ,RIT
0.21000000000000002 ,0.009897904855322107  ,0.003171282701104298   ,0.01359770740957774   ,-3.534424553257316e-18  ,CC
0.21000000000000002 ,-0.04190628725911519  ,0.0017453370290171823  ,-0.03940668092228324  ,0.0009241723089805324   ,RIT
0.22999999999999998 ,-0.10717522130351104  ,0.00038588864240079513 ,-0.10558219642165807  ,-3.469446951953614e-18  ,CC
0.22999999999999998 ,-0.03470202136031142  ,0.00255258937412717    ,-0.031734804679866196 ,0.0013686440579529391   ,RIT
0.25                ,0.031186512723243676  ,0.007671060874744904   ,0.03124166213865666   ,-4.604688742893976e-19  ,CC
0.25                ,-0.029661916066406665 ,0.0036885969207384605  ,-0.02618620922308044  ,0.0020636810728410014   ,RIT
0.27                ,0.038960531576110145  ,0.006348625056432249   ,0.03634256219661206   ,-6.183223736685853e-18  ,CC
0.27                ,-0.08587036242575649  ,0.0032253327542796093  ,-0.08374478970206214  ,0.0027124432990589097   ,RIT
0.29                ,-0.08673007851472092  ,0.0007547869454499265  ,-0.08460563633298161  ,-1.734723475976807e-18  ,CC
0.29                ,-0.07952187700585055  ,0.0033476742420253123  ,-0.0771773407853682   ,0.002713889985671237    ,RIT
0.31                ,0.044895506377634765  ,0.0038685445383164698  ,0.04138663396234274   ,-6.332035242277361e-18  ,CC
0.31                ,-0.07397091210055903  ,0.0034557770453445755  ,-0.07138962543725946  ,0.002671688626543869    ,RIT
0.33                ,0.045511867945809734  ,0.003297977565938423   ,0.04201925337078738   ,-1.6724976374206592e-19 ,CC
0.33                ,-0.0691308124053047   ,0.003567743847534414   ,-0.06628962031752827  ,0.002594127854683227    ,RIT
0.35                ,0.04520084265754086   ,0.002950650244888092   ,0.04175484149276957   ,-6.320750444238173e-18  ,CC
0.35                ,-0.0649128491402144   ,0.00368892024963229    ,-0.061808359251890016 ,0.0024871758716290826   ,RIT
0.37                ,0.0442170242881285    ,0.002743569989717096   ,0.040803979772627674  ,2.831578424039186e-18   ,CC
0.37                ,0.008060253492160642  ,0.004925246670622012   ,0.006325775801010629  ,0.0023416572536875805   ,RIT
0.39                ,0.042741526234543574  ,0.002629328164319561   ,0.039333261110398116  ,-5.138652105184369e-18  ,CC
0.39                ,0.007900762579796711  ,0.004817773071074617   ,0.006712729277377368  ,0.001996373855133789    ,RIT
0.41                ,0.040888492806185256  ,0.0025648509544330313  ,0.03747344304167574   ,-2.6519910438681705e-19 ,CC
0.41                ,0.007798958001183666  ,0.005079019370675772   ,0.007097703704261854  ,0.0018064577604923408   ,RIT
0.43                ,0.03877313409983203   ,0.002549034042708094   ,0.03533102277417014   ,2.946220545135543e-18   ,CC
0.43                ,0.00734556882862869   ,0.005850027615891799   ,0.007436713447389373  ,0.0017136379492195518   ,RIT
0.45                ,-0.06126739866179738  ,0.002361883598016127   ,-0.057861080119135766 ,-6.938893903907228e-18  ,CC
0.45                ,0.008883573058990218  ,0.006047185598167493   ,0.007749095448525503  ,0.0016830058464383747   ,RIT
