Q,SE,uuid
14802.820336535757,0.33384888924531475,20241226134159_2115155254b4411ca09b99a04bede057
5491.228051381921,0.8511037398111803,20241226134307_68518c13bbd345c08d8c6cc8a05332ac
15705.063503948802,0.46855826650183563,20241226134406_631e7324be1a4a2fa62b2ee71529739a
11228.339611564956,0.4905789792182418,20241226134506_2236e8348ded42f9a82289bc683b6bbf
15445.132594145702,0.3902894054319762,20241226134608_7e30d545b656473f9ce1b26cec6fa301
5177.55119817028,0.29847235075060186,20241226134712_7bb566b38e314175a123041f9eb691b4
4592.5635161715645,0.7287826216079714,20241226134817_b64e414360e44247bff55f4072b01146
12700.438476672625,0.4954434957656513,20241226134917_1c7192b60fc6438b8f98126fa634cd26
2821.134922205688,0.3605083850714328,20241226135020_1164ba4fea3d45c095e4bd2e356794ac
3093.6844155897693,0.8356206947309653,20241226135124_5263a4fd3ae4470c9c1131c8cee6338b
1836.941567656205,0.49221683086344936,20241226135228_aa0d336993c64cf1943b9a19fb48ddc1
20655.400014486597,0.5331800972650586,20241226135334_8059d3a64e4540498ab35faeed48a0dd
20882.11997084865,0.43918658515336584,20241226135437_1aaceb465c7f41daaac94337765f3d79
19568.34990914254,0.4741632879055758,20241226135540_25558e91d9bc40879a066eae82c9967f
5299.064783982715,0.4389964030792337,20241226135643_9efd15f0135a40739500be37363646c3
2484.262643133029,0.34738483140718224,20241226135750_2ca21c5fb958470491cd39f64f6e37b8
16087.02199879197,0.4608570287199134,20241226135858_b03db8886f3e4265b6832bcfcf16a7a5
8298.220296549434,0.5605673778846367,20241226140001_eac3c043f1024799b3dde6fbd7d9385b
4767.098007706797,0.44902373412692365,20241226140107_6e8cc001f3bc40cfba6fbe80f1a4a24a
5889.220249571015,0.8916291556606251,20241226140209_8b08a422bcb84a718c9e3530093073ff
4576.6656577456415,0.6105615879874036,20241226140319_6781c0e96524492cb9fab2c0d3ba8778
7687.514507084957,0.5650668386428395,20241226140416_922b9caffb984ec4beeca53b1afe8e9b
7382.686550125079,0.47801504646382653,20241226140533_6c5247c7727946229c3b1a98298ed557
1257.5697131336804,0.6651493636872884,20241226140644_3155487dd1bf41889bb2e0ee90bcdb6c
5839.180570592168,0.30256774426507005,20241226140749_80bbce1e104a4084a99b3029389a4696
10542.657710035455,0.5424539452030808,20241226140855_1dbcdf72a6e84040af02b1e3c6f26f39
3741.9977607641,0.6723592135649294,20241226140956_aa8a18b7ec144a059f4ebd1d5de9c7f3
2430.055994939464,0.4004730919420907,20241226141105_9e980919d52945c18f0e6aafd61a419a
13858.80542750436,0.533538879265276,20241226141211_059a9160dc544ba3ae3ce3fba6e4cf7c
10457.33670696503,0.4726202385783079,20241226141318_f262a2054fb5488c82cb7b084611cfc8
1902.5234853022637,0.8661809866161965,20241226141425_f9539ac2c36f48738d7004dc5159959d
4445.146286862659,0.6899689170657773,20241226141531_f4ae1c45f0184be88a4bde2c0d0b68e2
9768.773517240448,0.599142662001678,20241226141636_034bb3250016463db54090e47ab12330
15450.102405355188,0.6347111684247752,20241226141736_d34fdfe2e9c448a5875d46e7396033f5
6679.580357398261,0.4803466623059187,20241226141839_15365d2f0db843acb78ebdead8aea578
5358.084906567346,0.4174078941586571,20241226141959_b4df9e924a0745b281c3864950954f3c
5251.794373283156,0.8073387629337156,20241226142102_9008e602e57445318a608e68065e6d1e
10728.297194251174,0.38988963208544347,20241226142207_4eabcdff3bc840329f9925448ea6db7c
