FF,eig_real,eig_imag,eig_real_inf,eig_imag_inf,shape,uuid
0.05,-0.007532397398063242,0.008483323033230638,-0.001817092769731312,-2.5688038614933393e-21,CC,20241220115738_89ea76cdb4a347019f59c8beda73fd5a
0.05,-0.0073841530495514715,0.008875956007030308,-0.0016246539011618454,2.077798644969721e-07,RIT,20241220115833_a025d42e8adc4dc2b1a5ec864adf1c68
0.060000000000000005,-0.007433565881867102,0.00863097807984156,-0.0017366533818434162,-9.595054473940565e-22,CC,20241220115924_1b448513a3e04e4485b31569c17d6fd9
0.060000000000000005,-0.0072704459131326974,0.009079860616994631,-0.0015246120076403248,4.059881388965429e-07,RIT,20241220120018_e35f01bfc2234be18b40a36519f1cd79
0.07,-0.00731638103733295,0.008824564740251116,-0.0016377114000280212,2.1517888817844312e-20,CC,20241220120111_4585bb0f79484d10aaf6cec71a88e132
0.07,-0.007145146835741308,0.0093198536313045,-0.0014147945612956795,7.161218581033672e-07,RIT,20241220120203_ad79b104288844f4a326405ddbad8d4d
0.08,-0.007190747192127957,0.009046514163913014,-0.001531447768152161,8.026426937759188e-20,CC,20241220120255_8dc5e6b4dde846fd804afceee05585f6
0.08,-0.007018081495400057,0.009574114883965323,-0.0013055073745945043,1.1675418148176425e-06,RIT,20241220120350_ef573705ea394d4389ca35bde4b8ee27
0.09,-0.007062330306212186,0.009286089662488492,-0.0014242858846791166,-3.9928780864798155e-20,CC,20241220120441_c64c417b36ed45299d1fa4c2566dc04a
0.09,-0.0068950553880566855,0.009829383816816306,-0.001202151150575992,1.7946997194251403e-06,RIT,20241220120535_902bacd7b6ec4792b80d800006c3438b
0.1,-0.006934672316107683,0.009533772264479871,-0.0013201005192597607,1.5618937946583952e-20,CC,20241220120626_6119e3a7f2b84f78a3692f4451f2c4c8
0.1,-0.006779472237781465,0.010077637443971109,-0.0011072205949511475,2.6230679560145047e-06,RIT,20241220120720_77ddd089ef56415e8d44d928c927ae2f
0.11,-0.00680987762546755,0.009782996630073022,-0.0012207593188966381,1.591081480240001e-20,CC,20241220120811_be29ba9931e04d4780b5acf5cc4d05dc
0.11,-0.006673252579070685,0.010313805385223435,-0.0010216038790632704,3.676698251035699e-06,RIT,20241220120905_6e54c4616b6b47809c0a5e5affa53ffd
0.12000000000000001,-0.006689176121362873,0.010030397933036214,-0.0011269290489741468,2.0200064639948987e-20,CC,20241220120956_6f48cba73f294de7839ca7e87f3ee2d4
0.12000000000000001,-0.0065774258676739705,0.01053463358206105,-0.0009453913223516132,4.970359344694156e-06,RIT,20241220121048_bf63ee5fdce4433e93613a036aed7623
0.13,-0.006573458188669901,0.010274381857015305,-0.001038899096046987,-1.2195994499605033e-20,CC,20241220121139_0be4df2ff7074858b0acd0cf53459b9a
0.13,-0.006492396528986822,0.010738355171575786,-0.0008781872705775947,6.507061219852105e-06,RIT,20241220121232_f42e42125f08490f8143a6a270055407
0.14,-0.006463363445194238,0.010513709481488241,-0.0009568603024226864,7.669225066369955e-21,CC,20241220121323_587f661945314be7b268867797c31ef7
0.14,-0.0064181630829527265,0.01092424020127089,-0.0008193710572489109,8.274207588947651e-06,RIT,20241220121418_e767ba41a162405db93e36808064f87a
0.15000000000000002,-0.006359404995168347,0.010746871127421712,-0.0008808125089994664,1.1663953557471904e-20,CC,20241220121509_f8372c52048a477681da46308a30be33
0.15000000000000002,-0.006354323545590345,0.011092447180649345,-0.0007681326886391014,1.0245821681177096e-05,RIT,20241220121602_4f73b01a8e674c0b8daf8c595a194241
0.16,-0.006261912670782585,0.010972398831622461,-0.0008104768561409642,9.78008263870686e-21,CC,20241220121652_8d7d8a2f2b624e04897353337ad9e975
0.16,-0.006300165943226066,0.011243669175457023,-0.0007235809238897305,1.238547700533385e-05,RIT,20241220121749_be3cbe15323545f4b344ff03cef65499
0.16999999999999998,-0.0061709414925289014,0.01118920275304499,-0.0007454891888259026,-1.0286696912187007e-20,CC,20241220121840_39c2bc3008464b138387a8ede808a1c1
0.16999999999999998,-0.006254933781980614,0.01137888043708242,-0.0006848544676459318,1.46509202813721e-05,RIT,20241220121934_6bf63e44eccd44289fee64f6ac48e974
0.18,-0.0060867532796711156,0.011396606068478565,-0.0006854743405521691,3.1627456622650066e-20,CC,20241220122028_4f2507545f1d4f01be2c3a9901798928
0.18,-0.006217565948190376,0.011499309401895792,-0.0006512098598912892,1.6985966999881957e-05,RIT,20241220122122_b0dca4de26b14c35beb90b939699b13a
0.19,-0.006009144218698571,0.011594626538322222,-0.0006301391927241948,1.3272329223677262e-20,CC,20241220122212_ef3b0b18b6c54e86af4cc597daa6f641
0.19,-0.0061871621282216785,0.011606418684224087,-0.0006218830270509837,1.9341376695437382e-05,RIT,20241220122303_60ae754f6fcc445e812cf1708f60fbaa
0.2,-0.005937986956906451,0.011783428574829738,-0.0005791598675923915,-3.3543243831218207e-20,CC,20241220122354_0a541a757959491396804217cdf3ba96
0.2,-0.006162711855041191,0.011701656854085477,-0.0005962361067094915,2.166479186421303e-05,RIT,20241220122447_54e16b81197c4c86806248013c1f7242
0.21000000000000002,-0.005873304308788133,0.011963130045054294,-0.0005322205343694288,1.3840878533947573e-21,CC,20241220122538_35e29ae840834fc4a59b8e2c67142afb
0.21000000000000002,-0.006143316413167374,0.01178655931204506,-0.0005736589587760654,2.3910424746945677e-05,RIT,20241220122631_30ec967c5d374ea8979fd8411c487f31
0.22000000000000003,-0.005814686293683254,0.012133660094359216,-0.0004890341437461618,-2.3354332684199572e-20,CC,20241220122721_81568eb7cdc2457abe07562d4b212722
0.22000000000000003,-0.0061280459646939,0.011862532776769191,-0.0005536164877647676,2.603994187925728e-05,RIT,20241220122814_cc7774c32e4141ddb45b98dd578a07c7
0.22999999999999998,-0.0057619338180852865,0.012294823930599734,-0.0004493496958730218,1.6322896619697658e-20,CC,20241220122904_8564c3ea1bd743b58209eab502529cd9
0.22999999999999998,-0.0061161028392515615,0.0119308903872692,-0.0005356444332980391,2.8024960468682575e-05,RIT,20241220122958_5498fb9b00fd45e8ba90154e875899a3
