FF,Q,SE,shape,uuid
0.05,387666.7026771895,0.13995330106464765,CC,20241219172022_3308ca1d3bc84952a25fcd31d9a6fb92
0.05,69156.96494660889,11.6566282406667,RIT,20241219172119_d158f7c14f504ce5b0a6b594487e83bb
0.060000000000000005,457818.1851807949,0.1860634972937217,CC,20241219172214_77f8030c874f4b46b5d3cdb4a31761aa
0.060000000000000005,44209.9506372728,12.037823925359959,RIT,20241219172309_7938a9c97a0045cd9627e081345f849e
0.07,497532.2719400203,0.23157690479225554,CC,20241219172405_1d6e9fb547bf470a98c4cc421a4b9f96
0.07,28851.286664121093,11.49500173567924,RIT,20241219172502_05b0b9cf064d44bfa5c6d1ad46559375
0.08,502286.12350925215,0.2742406412319468,CC,20241219172600_abdaed59ea9341dfb22bcf55706a6903
0.08,19779.407913265604,10.677720620502026,RIT,20241219172656_1ca76527c227494f866ea7bac3e163e0
0.09,475072.88356741203,0.31238178740718997,CC,20241219172752_31a35f38bba64c24aab6f271d431e305
0.09,14322.427050857694,9.832759860756996,RIT,20241219172849_d71b221f44cd47549efb25cb81c9b2b2
0.1,425230.6767553762,0.34466388954210153,CC,20241219172943_1347d63acc5e46d891631a33be07bb9a
0.1,10944.558962276034,9.040074488247177,RIT,20241219173040_c58416d47f1e465a80d17cc9337d65cb
0.11,365668.7463836125,0.37096651459265906,CC,20241219173136_6b743ef26a37414da97d4d369222265a
0.11,8780.252026064409,8.314965901039725,RIT,20241219173236_df8998e76d0f41c1b75d05b677012761
0.12000000000000001,301821.12125495746,0.3905598795386834,CC,20241219173334_ba571a155b6a45b781f8e4586126b258
0.12000000000000001,7352.209242834524,7.6501720922886065,RIT,20241219173434_fbebdaaac90344b99acf6465eea828a5
0.13,242122.31131426446,0.40433415638752096,CC,20241219173531_77f517b845dd4ebbae29294e7d4811ba
0.13,6398.852334092448,7.041989431178686,RIT,20241219173629_bc9d839cfc08448d982ee3ecfb008865
0.14,189084.4235175679,0.4123693156374898,CC,20241219173726_0d5e8b96982f47c3a8e10f94cca7266a
0.14,5762.442281278369,6.482676656342905,RIT,20241219173824_8907cd3448e1426eb522807103fa5b87
0.15000000000000002,144662.4679331278,0.415222022448956,CC,20241219173919_0d3171718ea448ff9e2e0a8d2870ae6b
0.15000000000000002,5344.417894904019,5.962999353552869,RIT,20241219174015_9710020462b44fbb9f990a8909a740ff
0.16,109510.97102196158,0.4138599755140693,CC,20241219174109_e1f9b81274e84ed2bde760338b9f5a40
0.16,5080.87397305046,5.473561855752497,RIT,20241219174205_317bc85af860479ab4c2c8e94a27a864
0.16999999999999998,81819.06495571267,0.4081502536518201,CC,20241219174301_4db3c153767840d4a97c5990ac3210c2
0.16999999999999998,4925.003430838061,5.0022443541042385,RIT,20241219174357_68ec787116b54dc392676753a647a746
0.18,60813.93709843457,0.39905024621013885,CC,20241219174451_57ef4ded6c0b48c995740d0b22e3d2f5
0.18,4844.610179963671,4.542498189514119,RIT,20241219174545_1d63a4e6c7e14e9287bb614a9707ed16
0.19,4369.061557641524,7.929994603482323,CC,20241219174638_645a4e0083244403a2925c29dc0c96af
0.19,66.67943603661692,3.7853520807913172,RIT,20241219174732_491c0d036b2b4c39a274e300049cac5e
0.2,-394.38230706520875,-5.321794992295355,CC,20241219174824_97e91741da1f446f93e9b4899d927537
0.2,57.362352768412485,3.4545092429879225,RIT,20241219174919_ce2ed9c29a9a465fa8066238aa27197e
0.21000000000000002,8.968581228065325,0.9953786192746973,CC,20241219175011_1658be2e9c0642dfbbb63ef318bf7c0e
0.21000000000000002,49.24180737744752,3.1009475593901614,RIT,20241219175249_e7279c2d80d54903ab1b2cd57af86ab4
0.22000000000000003,-307.73938900166274,-1.3559635168424535,CC,20241219175342_e426d553c802422da1b3117b6900235a
0.22000000000000003,43.45258660592015,2.940949599789655,RIT,20241219175435_2b8f9557874743ee8333f28dd4fa56e1
0.22999999999999998,-266.976108936964,-1.3142135931830727,CC,20241219175528_f89b21e7a2ef4af9878ab47aade20bcc
0.22999999999999998,38.44721515158448,2.7068929246143565,RIT,20241219175622_effa55938cad47a5bdeb41de328cf518
0.24,-473.14559111847655,-1.6054173383843406,CC,20241219175715_d065e5926785470d8e996f49d2a0a5bb
0.24,37.48623235377716,2.3531145645610483,RIT,20241219175809_59e05c832a2d4adfbf6e373e8de77abc
0.25,-209.37827799848864,-1.254492875958188,CC,20241219175902_d717655299ca42da9bc2200202d4dd54
0.25,33.30520763383432,2.071793207532827,RIT,20241219175956_3006ef104cea4e94bd8b23940545b308
