Q,SE,uuid,t11,time_cost
47208.656228580476,0.6691899032024522,20250109151905_207f52bd57cd43938d9a6e74bb56bcd5,(-7.199779661348771e-11+0j),71.88707852363586
7968.975363857265,0.4470212345169833,20250109152023_6f4b0cf023244a4aa0be59aeb091db17,(-3.8770764376749867e-11-8.881784197001252e-13j),72.89752507209778
5026.93352129273,0.40023979257046294,20250109152142_c542b640f51b4616a2b0b754dcf12f1e,(7.604228358104592e-11+4.547473508864641e-13j),85.14774346351624
2751.042402412902,0.003813940116602965,20250109152315_9aac351c961d4fb993edf4ebaad8df48,(-5.3290705182007514e-11+0j),73.1239664554596
12776.934346861823,0.7030827466544707,20250109152439_8424d9584b7a44f0802cdd1e65f7809a,(3.7403413699621524e-11+2.4868995751603507e-14j),67.15702962875366
11412.28314729767,0.38602346369651774,20250109152553_75b7256d02924414bf166d11f893d328,(4.595968050580268e-11-1.9468870959826745e-12j),81.10602235794067
14953.274206919457,0.6619406780748418,20250109152723_ac6f8bb049214596af693def58bcd188,(-6.013323172737728e-11+0j),71.21797180175781
131337.82989402418,0.3232063612779168,20250109152839_e16024357e61401796e9f3a0deb271c8,(5.842720751658703e-11-1.6253665080512292e-13j),68.341721534729
nan,nan,20250109152952_2adcd26b73d94e51803a8bb330e14348,(1.5432988220709376e-11+0j),65.98456525802612
8070.130975657997,0.7534727012150264,20250109153117_5a2293498b1d4ca4a31e63640aef181d,(-4.126476937926782e-11+0j),68.97039222717285
54077.25889967956,0.459776403976236,20250109153231_2fdd7272ccf343fab766e9b6f5df3c8e,(-6.436851052171733e-11+0j),81.78654646873474
1384.154325277628,0.33049281814150966,20250109153357_a83eea3d5e5643ba828cc5b8581f82eb,(-3.96980226469168e-11+1.4495071809506044e-12j),95.67796778678894
182633.78529219356,0.3847176836565668,20250109153627_64758d51fd484fcb8fcc5309776181af,(-1.7492877146807473e-09-1.509903313490213e-14j),62.33436894416809
18020.85629892142,0.4111320123653658,20250109153736_2d198332eaa84da0a30f6ee3f3c42fe5,(4.940770015338103e-13+0j),85.44297766685486
3891.5729385607715,0.676911943790274,20250109153907_aa58fe4635434306a1667c9c46b6b0da,(-5.629310351196182e-10-7.815970093361102e-14j),80.18933057785034
nan,nan,20250109154032_6df091a05f8042e6a6fbe2f3b1a49d31,(4.106937012693379e-11+0j),78.47517585754395
14452.681192508942,0.9232224275155824,20250109154214_6b43fc9ccc1148909f68617ad8c7547b,(-8.536388262925243e-11-2.2470914018413168e-13j),68.17554903030396
7755.563555271314,0.883634860844928,20250109154327_6cf89f86c1ef48328500ce80f56e9c49,(-6.0103033661107474e-12+0j),72.98152828216553
23624.550339712834,0.6634726609666253,20250109154445_f388da9ab0164cbfb7a4712a35ce6353,(3.7403413699621524e-11+2.4868995751603507e-14j),73.62166118621826
1342.066231712115,0.5087301851541508,20250109154604_415024aa54934003bba8995528eaa008,(-7.712586125308007e-11-2.9700686354772188e-12j),87.46390295028687
14372.117533035798,0.8797948600518942,20250109154738_6b266eeeaffb49debfc5a4f839310bcc,(8.796907646768659e-11+0j),73.2873158454895
25203.028436108674,0.630810840846081,20250109154857_a19378b0fd1a4af8a57e542c8583d565,(4.076383675055695e-11+0j),79.58941888809204
2103.579193406722,0.5913183284767176,20250109155022_f235b25d66974af2bdfbf165dff89c95,(9.946532486537762e-11+2.4868995751603507e-13j),74.75600361824036
2308.8586337438805,0.33869050023863656,20250109155142_ff420c637131418a9a4e45f1aeae44c9,(5.948663783783559e-11+0j),79.45666790008545
10742.09856137373,0.2572443127671509,20250109155307_c7e58b3865ac4a4c93e0619e762c5817,(-2.107336527501502e-11+2.842170943040401e-14j),80.8265700340271
21968.337557390856,0.7219680232605026,20250109155434_e6cd802dbe034c0ba121cb5d2f7c1623,(2.1416868278834045e-11+6.252776074688882e-13j),71.57717156410217
13651.641043809452,0.7269170764505061,20250109155550_6f6dee9250b84492ab79559a435f5896,(-9.565148673118529e-11+0j),75.74902296066284
