FF,Q,uuid,cal_time,mark
0.2,209.0156061514673,b4156ac6cade49ad8a12bb74381f2a06,218.72530460357666,"Phys. Rev. B, 2011"
0.21000000000000002,895.7181370944037,bfd5de6f89b2410a9fbcdb27bcdd3d21,225.45070838928223,"Phys. Rev. B, 2011"
0.21000000000000002,2324.8984879214236,bfd5de6f89b2410a9fbcdb27bcdd3d21,225.45070838928223,"Phys. Rev. B, 2011"
0.21000000000000002,244.02065439936604,bfd5de6f89b2410a9fbcdb27bcdd3d21,225.45070838928223,"Phys. Rev. B, 2011"
0.21000000000000002,209.47558311198063,bfd5de6f89b2410a9fbcdb27bcdd3d21,225.45070838928223,"Phys. Rev. B, 2011"
0.22,872.8269430951119,ea3034a4c951438293077d5e85074ecd,217.70854806900024,"Phys. Rev. B, 2011"
0.22,1957.7055712583492,ea3034a4c951438293077d5e85074ecd,217.70854806900024,"Phys. Rev. B, 2011"
0.22,244.6763465083031,ea3034a4c951438293077d5e85074ecd,217.70854806900024,"Phys. Rev. B, 2011"
0.22,212.1492288743187,ea3034a4c951438293077d5e85074ecd,217.70854806900024,"Phys. Rev. B, 2011"
0.23,859.9370958926336,a6e5f127ddc3409f95fc3934c2793e49,218.18937969207764,"Phys. Rev. B, 2011"
0.23,1648.8427078383663,a6e5f127ddc3409f95fc3934c2793e49,218.18937969207764,"Phys. Rev. B, 2011"
0.23,246.84534448518014,a6e5f127ddc3409f95fc3934c2793e49,218.18937969207764,"Phys. Rev. B, 2011"
0.23,217.32191283640344,a6e5f127ddc3409f95fc3934c2793e49,218.18937969207764,"Phys. Rev. B, 2011"
0.24000000000000002,856.1841899241472,e4e6249737414b14b2fad32bbc8be525,222.2028365135193,"Phys. Rev. B, 2011"
0.24000000000000002,1387.2052510472797,e4e6249737414b14b2fad32bbc8be525,222.2028365135193,"Phys. Rev. B, 2011"
0.24000000000000002,250.5439815530052,e4e6249737414b14b2fad32bbc8be525,222.2028365135193,"Phys. Rev. B, 2011"
0.24000000000000002,225.50287504471544,e4e6249737414b14b2fad32bbc8be525,222.2028365135193,"Phys. Rev. B, 2011"
0.25,861.2259642399664,e09a61837f234a4e94256ef0e38266e4,217.00955772399902,"Phys. Rev. B, 2011"
0.25,1164.8229848036317,e09a61837f234a4e94256ef0e38266e4,217.00955772399902,"Phys. Rev. B, 2011"
0.25,255.82812174814967,e09a61837f234a4e94256ef0e38266e4,217.00955772399902,"Phys. Rev. B, 2011"
0.25,237.54961536505715,e09a61837f234a4e94256ef0e38266e4,217.00955772399902,"Phys. Rev. B, 2011"
0.26,875.1247364759433,cbb631ff32e14c3b9bee026d87c6d388,218.60499620437622,"Phys. Rev. B, 2011"
0.26,975.440388342551,cbb631ff32e14c3b9bee026d87c6d388,218.60499620437622,"Phys. Rev. B, 2011"
0.26,262.801102808087,cbb631ff32e14c3b9bee026d87c6d388,218.60499620437622,"Phys. Rev. B, 2011"
0.26,254.93117725277165,cbb631ff32e14c3b9bee026d87c6d388,218.60499620437622,"Phys. Rev. B, 2011"
0.27,898.2579048122776,2742ba244eb5447ca462dadbd9b81342,212.52202987670898,"Phys. Rev. B, 2011"
0.27,813.9057956948157,2742ba244eb5447ca462dadbd9b81342,212.52202987670898,"Phys. Rev. B, 2011"
0.27,271.63058796872957,2742ba244eb5447ca462dadbd9b81342,212.52202987670898,"Phys. Rev. B, 2011"
0.27,280.2996047150313,2742ba244eb5447ca462dadbd9b81342,212.52202987670898,"Phys. Rev. B, 2011"
0.28,931.3100383817285,a273e1ddb8e14a858885df433e3f14c5,213.2472324371338,"Phys. Rev. B, 2011"
0.28,676.5252359199629,a273e1ddb8e14a858885df433e3f14c5,213.2472324371338,"Phys. Rev. B, 2011"
0.28,282.56153774986603,a273e1ddb8e14a858885df433e3f14c5,213.2472324371338,"Phys. Rev. B, 2011"
0.28,318.7282981531474,a273e1ddb8e14a858885df433e3f14c5,213.2472324371338,"Phys. Rev. B, 2011"
0.29000000000000004,975.3322023747672,b3c90761630845f48ae9eb3400ad07df,223.60418128967285,"Phys. Rev. B, 2011"
0.29000000000000004,562.8336560202638,b3c90761630845f48ae9eb3400ad07df,223.60418128967285,"Phys. Rev. B, 2011"
0.29000000000000004,295.9390828554805,b3c90761630845f48ae9eb3400ad07df,223.60418128967285,"Phys. Rev. B, 2011"
0.29000000000000004,380.02221517380013,b3c90761630845f48ae9eb3400ad07df,223.60418128967285,"Phys. Rev. B, 2011"
0.3,1031.9295280953083,633372e0eb0640d09b732a1cdbc6dd7d,219.20481991767883,"Phys. Rev. B, 2011"
0.3,478.5743503439445,633372e0eb0640d09b732a1cdbc6dd7d,219.20481991767883,"Phys. Rev. B, 2011"
0.3,312.2298073693689,633372e0eb0640d09b732a1cdbc6dd7d,219.20481991767883,"Phys. Rev. B, 2011"
0.3,479.2146948418696,633372e0eb0640d09b732a1cdbc6dd7d,219.20481991767883,"Phys. Rev. B, 2011"
0.31,1103.5120965122255,c80a00210ce4476c97ce84256cb04d4b,224.33535718917847,"Phys. Rev. B, 2011"
0.31,430.1707584662784,c80a00210ce4476c97ce84256cb04d4b,224.33535718917847,"Phys. Rev. B, 2011"
0.31,332.0608931355417,c80a00210ce4476c97ce84256cb04d4b,224.33535718917847,"Phys. Rev. B, 2011"
0.31,625.8318849591424,c80a00210ce4476c97ce84256cb04d4b,224.33535718917847,"Phys. Rev. B, 2011"
0.32,1193.6041648049797,2393261f73624ad2bb5096e3e52ff7b2,208.20758318901062,"Phys. Rev. B, 2011"
0.32,412.2305506646316,2393261f73624ad2bb5096e3e52ff7b2,208.20758318901062,"Phys. Rev. B, 2011"
0.32,356.2892893465891,2393261f73624ad2bb5096e3e52ff7b2,208.20758318901062,"Phys. Rev. B, 2011"
0.32,817.246376017668,2393261f73624ad2bb5096e3e52ff7b2,208.20758318901062,"Phys. Rev. B, 2011"
0.33,1307.3026969627492,43131ce7cd1c43aa900ba9ea5d08c7f8,186.2704529762268,"Phys. Rev. B, 2011"
0.33,414.986811375358,43131ce7cd1c43aa900ba9ea5d08c7f8,186.2704529762268,"Phys. Rev. B, 2011"
0.33,386.09152580684497,43131ce7cd1c43aa900ba9ea5d08c7f8,186.2704529762268,"Phys. Rev. B, 2011"
0.33,1052.5395572406715,43131ce7cd1c43aa900ba9ea5d08c7f8,186.2704529762268,"Phys. Rev. B, 2011"
0.34,1452.2120261009475,be6e9ecb8a1647de881865f0a9742090,219.94282984733582,"Phys. Rev. B, 2011"
0.34,433.5044571412291,be6e9ecb8a1647de881865f0a9742090,219.94282984733582,"Phys. Rev. B, 2011"
0.34,423.2709607667034,be6e9ecb8a1647de881865f0a9742090,219.94282984733582,"Phys. Rev. B, 2011"
0.34,1335.4049065620022,be6e9ecb8a1647de881865f0a9742090,219.94282984733582,"Phys. Rev. B, 2011"
0.35000000000000003,1639.2274120894497,dc653334c10f4e0eab366d1652e7865b,213.80852460861206,"Phys. Rev. B, 2011"
0.35000000000000003,466.38215421486683,dc653334c10f4e0eab366d1652e7865b,213.80852460861206,"Phys. Rev. B, 2011"
0.35000000000000003,470.37753643575485,dc653334c10f4e0eab366d1652e7865b,213.80852460861206,"Phys. Rev. B, 2011"
0.35000000000000003,1678.4342431879984,dc653334c10f4e0eab366d1652e7865b,213.80852460861206,"Phys. Rev. B, 2011"
0.36000000000000004,1885.4813214432295,72aaa518ba2044f1b8cc7d8147e18cfa,218.00198769569397,"Phys. Rev. B, 2011"
0.36000000000000004,515.7441629802863,72aaa518ba2044f1b8cc7d8147e18cfa,218.00198769569397,"Phys. Rev. B, 2011"
0.36000000000000004,531.5323898894947,72aaa518ba2044f1b8cc7d8147e18cfa,218.00198769569397,"Phys. Rev. B, 2011"
0.36000000000000004,2100.253475081251,72aaa518ba2044f1b8cc7d8147e18cfa,218.00198769569397,"Phys. Rev. B, 2011"
0.37,2219.021028213492,17ea5d9a14e44579b7666192967882b1,214.5803940296173,"Phys. Rev. B, 2011"
0.37,586.9917839275499,17ea5d9a14e44579b7666192967882b1,214.5803940296173,"Phys. Rev. B, 2011"
0.37,613.5080249363795,17ea5d9a14e44579b7666192967882b1,214.5803940296173,"Phys. Rev. B, 2011"
0.37,2633.5607413660864,17ea5d9a14e44579b7666192967882b1,214.5803940296173,"Phys. Rev. B, 2011"
0.38,2737.7962965146776,596435e1dc89441db9a374b6abef3b9b,1384.5477871894836,"Phys. Rev. B, 2011"
